source_layer,dataset,tissue_scope,cell_type,genotype_context,contrast_id,scoring_method,effect_metric,estimate,se,ci_low,ci_high,nominal_p,fdr,direction,evidence_class,interpretation_limit
biological_sample_score,GSE304399,whole_lesion,all_cells,source_cohort,change_d7_minus_d1,centered_rank_mean,standardized_score_contrast,-1.26219758359606,0.425096179603692,-2.23738164488298,-0.28701352230915,0.0172972824134159,0.393715536668257,-1,nominal_only_not_replication,within-study score association; FDR is within-study Hallmark family
biological_sample_score,GSE304399,whole_lesion,all_cells,source_cohort,change_d7_minus_d1,magnitude_mean_z,standardized_score_contrast,-0.681984018463925,0.698584849139522,-2.15839668508424,0.794428648156395,0.342938580854139,0.93868440692516,-1,directional_or_no_statistical_support,within-study score association; FDR is within-study Hallmark family
biological_sample_score,GSE162610,whole_lesion,all_cells,source_cohort,injury_d1_vs_uninjured,centered_rank_mean,standardized_score_contrast,2.10722459104682,0.37000884554945,1.28159345664916,2.93285572544448,0.0002078373101125,0.0032082603554818,1,FDR_supported_association_or_enrichment,within-study score association; FDR is within-study Hallmark family
biological_sample_score,GSE162610,whole_lesion,all_cells,source_cohort,injury_d1_vs_uninjured,magnitude_mean_z,standardized_score_contrast,1.09547381958524,0.640329797377199,-0.165654687608844,2.35660232677933,0.0883591838412219,0.38452676836129,1,directional_or_no_statistical_support,within-study score association; FDR is within-study Hallmark family
biological_sample_score,GSE234774,whole_lesion,all_cells,source_cohort,injury_d1_vs_uninjured,centered_rank_mean,standardized_score_contrast,1.80912939165279,0.466315287818632,0.775324412774329,2.84293437053126,0.002852176919791,0.0040972670372847,1,FDR_supported_association_or_enrichment,within-study score association; FDR is within-study Hallmark family
biological_sample_score,GSE234774,whole_lesion,all_cells,source_cohort,injury_d1_vs_uninjured,magnitude_mean_z,standardized_score_contrast,1.65027917011872,0.50753907685953,0.571716148315223,2.72884219192222,0.0051659465915652,0.0066230084507246,1,FDR_supported_association_or_enrichment,within-study score association; FDR is within-study Hallmark family
biological_sample_score,GSE304399,whole_lesion,all_cells,source_cohort,injury_d1_vs_uninjured,centered_rank_mean,standardized_score_contrast,2.0430634511862,0.425096179603692,1.06787938989929,3.01824751247312,0.0012348223130331,0.0036318303324502,1,FDR_supported_association_or_enrichment,within-study score association; FDR is within-study Hallmark family
biological_sample_score,GSE304399,whole_lesion,all_cells,source_cohort,injury_d1_vs_uninjured,magnitude_mean_z,standardized_score_contrast,1.4988024564498,0.698584849139522,0.0223897898294798,2.97521512307012,0.0469924079457195,0.151080962521734,1,nominal_only_not_replication,within-study score association; FDR is within-study Hallmark family
biological_sample_score,GSE162610,whole_lesion,all_cells,source_cohort,injury_d7_vs_uninjured,centered_rank_mean,standardized_score_contrast,0.94133271496418,0.413682465462396,0.0182490445374676,1.86441638539089,0.0464050840904149,0.0842992974098027,1,nominal_only_not_replication,within-study score association; FDR is within-study Hallmark family
biological_sample_score,GSE162610,whole_lesion,all_cells,source_cohort,injury_d7_vs_uninjured,magnitude_mean_z,standardized_score_contrast,-1.18603940687415,0.715910477477041,-2.59602394209855,0.223945128350256,0.0988372790440406,0.130049051373738,-1,directional_or_no_statistical_support,within-study score association; FDR is within-study Hallmark family
biological_sample_score,GSE234774,whole_lesion,all_cells,source_cohort,injury_d7_vs_uninjured,centered_rank_mean,standardized_score_contrast,0.79018282353766,0.52135634125492,-0.365646280587332,1.94601192766265,0.159440144929326,0.17715571658814,1,directional_or_no_statistical_support,within-study score association; FDR is within-study Hallmark family
biological_sample_score,GSE234774,whole_lesion,all_cells,source_cohort,injury_d7_vs_uninjured,magnitude_mean_z,standardized_score_contrast,0.363560304311439,0.5674459385477,-0.842309813073664,1.56943042169654,0.531058886432201,0.577237920035001,1,directional_or_no_statistical_support,within-study score association; FDR is within-study Hallmark family
biological_sample_score,GSE304399,whole_lesion,all_cells,source_cohort,injury_d7_vs_uninjured,centered_rank_mean,standardized_score_contrast,0.780865867590139,0.425096179603692,-0.194318193696775,1.75604992887705,0.102419317448509,0.173967094048063,1,directional_or_no_statistical_support,within-study score association; FDR is within-study Hallmark family
biological_sample_score,GSE304399,whole_lesion,all_cells,source_cohort,injury_d7_vs_uninjured,magnitude_mean_z,standardized_score_contrast,0.816818437985875,0.698584849139522,-0.659594228634445,2.29323110460619,0.258794517693393,0.446197444298953,1,directional_or_no_statistical_support,within-study score association; FDR is within-study Hallmark family
composition_PC1_sensitivity,GSE162610,whole_lesion,all_cells,source_cohort,change_d7_minus_d1,centered_rank_mean_plus_CLR_PC1,adjusted_standardized_score_contrast,-1.134823822310112,0.2238900337333951,-1.7564422105717656,-0.5132054340484581,0.0071370800521754,0.0156077153551669,-1,FDR_supported_association_or_enrichment,one-PC sensitivity; not proof of composition independence
composition_PC1_sensitivity,GSE234774,whole_lesion,all_cells,source_cohort,change_d7_minus_d1,centered_rank_mean_plus_CLR_PC1,adjusted_standardized_score_contrast,-1.4041324183671209,0.4324348417677996,-2.6047640181103104,-0.2035008186239308,0.031463718668878,0.0419516248918374,-1,FDR_supported_association_or_enrichment,one-PC sensitivity; not proof of composition independence
composition_PC1_sensitivity,GSE304399,whole_lesion,all_cells,source_cohort,change_d7_minus_d1,centered_rank_mean_plus_CLR_PC1,adjusted_standardized_score_contrast,NA,NA,NA,NA,NA,NA,0,not_evaluable,one-PC sensitivity; not proof of composition independence
composition_PC1_sensitivity,GSE162610,whole_lesion,all_cells,source_cohort,injury_d1_vs_uninjured,centered_rank_mean_plus_CLR_PC1,adjusted_standardized_score_contrast,2.1709117587400337,0.206017467171514,1.5989155704264366,2.742907947053631,0.0004587371791969,0.0040095080353563,1,FDR_supported_association_or_enrichment,one-PC sensitivity; not proof of composition independence
composition_PC1_sensitivity,GSE234774,whole_lesion,all_cells,source_cohort,injury_d1_vs_uninjured,centered_rank_mean_plus_CLR_PC1,adjusted_standardized_score_contrast,1.3886902616813246,0.3981470081913876,0.2832569496392008,2.4941235737234484,0.0251711452771884,0.0377567179157827,1,FDR_supported_association_or_enrichment,one-PC sensitivity; not proof of composition independence
composition_PC1_sensitivity,GSE304399,whole_lesion,all_cells,source_cohort,injury_d1_vs_uninjured,centered_rank_mean_plus_CLR_PC1,adjusted_standardized_score_contrast,NA,NA,NA,NA,NA,NA,0,not_evaluable,one-PC sensitivity; not proof of composition independence
composition_PC1_sensitivity,GSE162610,whole_lesion,all_cells,source_cohort,injury_d7_vs_uninjured,centered_rank_mean_plus_CLR_PC1,adjusted_standardized_score_contrast,1.0360879364299218,0.2363074580754608,0.3799932511345758,1.6921826217252678,0.0118333510448227,0.0202857446482675,1,FDR_supported_association_or_enrichment,one-PC sensitivity; not proof of composition independence
composition_PC1_sensitivity,GSE234774,whole_lesion,all_cells,source_cohort,injury_d7_vs_uninjured,centered_rank_mean_plus_CLR_PC1,adjusted_standardized_score_contrast,-0.0154421566857959,0.5137210789124516,-1.4417605316692017,1.4108762182976091,0.9774596793028796,0.9774596793028796,-1,directional_or_no_statistical_support,one-PC sensitivity; not proof of composition independence
composition_PC1_sensitivity,GSE304399,whole_lesion,all_cells,source_cohort,injury_d7_vs_uninjured,centered_rank_mean_plus_CLR_PC1,adjusted_standardized_score_contrast,NA,NA,NA,NA,NA,NA,0,not_evaluable,one-PC sensitivity; not proof of composition independence
primary_three_study_whole_lesion,GSE162610,whole_lesion,all_cells,source_cohort,change_d7_minus_d1,preranked_GSEA,NES,-2.208892708950728,NA,NA,NA,0.0,0.0,-1,FDR_supported_association_or_enrichment,rank-based transcript enrichment; not pathway activation
primary_three_study_whole_lesion,GSE234774,whole_lesion,all_cells,source_cohort,change_d7_minus_d1,preranked_GSEA,NES,-2.1890391754122605,NA,NA,NA,0.0,0.0,-1,FDR_supported_association_or_enrichment,rank-based transcript enrichment; not pathway activation
primary_three_study_whole_lesion,GSE304399,whole_lesion,all_cells,source_cohort,change_d7_minus_d1,preranked_GSEA,NES,-2.059980366130447,NA,NA,NA,0.0,0.0001987327862336,-1,FDR_supported_association_or_enrichment,rank-based transcript enrichment; not pathway activation
primary_three_study_whole_lesion,GSE162610,whole_lesion,all_cells,source_cohort,injury_d1_vs_uninjured,preranked_GSEA,NES,2.6189248048775835,NA,NA,NA,0.0,0.0,1,FDR_supported_association_or_enrichment,rank-based transcript enrichment; not pathway activation
primary_three_study_whole_lesion,GSE234774,whole_lesion,all_cells,source_cohort,injury_d1_vs_uninjured,preranked_GSEA,NES,2.2988462200418613,NA,NA,NA,0.0,0.0,1,FDR_supported_association_or_enrichment,rank-based transcript enrichment; not pathway activation
primary_three_study_whole_lesion,GSE304399,whole_lesion,all_cells,source_cohort,injury_d1_vs_uninjured,preranked_GSEA,NES,2.457548158582423,NA,NA,NA,0.0,0.0,1,FDR_supported_association_or_enrichment,rank-based transcript enrichment; not pathway activation
primary_three_study_whole_lesion,GSE162610,whole_lesion,all_cells,source_cohort,injury_d7_vs_uninjured,preranked_GSEA,NES,2.1922155302571267,NA,NA,NA,0.0,0.0,1,FDR_supported_association_or_enrichment,rank-based transcript enrichment; not pathway activation
primary_three_study_whole_lesion,GSE234774,whole_lesion,all_cells,source_cohort,injury_d7_vs_uninjured,preranked_GSEA,NES,1.4962055122923434,NA,NA,NA,0.0013163668275559,0.0114298898294177,1,FDR_supported_association_or_enrichment,rank-based transcript enrichment; not pathway activation
primary_three_study_whole_lesion,GSE304399,whole_lesion,all_cells,source_cohort,injury_d7_vs_uninjured,preranked_GSEA,NES,1.4026001698374226,NA,NA,NA,0.0161324114812486,0.0488968949435576,1,FDR_supported_association_or_enrichment,rank-based transcript enrichment; not pathway activation
three_study_mKH_meta,three_study_meta,whole_lesion,all_cells,source_cohorts,change_d7_minus_d1,centered_rank_mean,mKH_meta_standardized_effect,-1.1653822034949606,0.2577162362457298,-2.274245670878408,-0.0565187361115138,0.0455862294668753,0.4019786578796207,-1,nominal_only_not_replication,k=3 modified Hartung-Knapp; wide small-k uncertainty retained
three_study_mKH_meta,three_study_meta,whole_lesion,all_cells,source_cohorts,change_d7_minus_d1,magnitude_mean_z,mKH_meta_standardized_effect,-1.3901372054532812,0.4352963692640394,-3.2630663169172305,0.482791906010668,0.0856432652803087,0.4129779185364869,-1,directional_or_no_statistical_support,k=3 modified Hartung-Knapp; wide small-k uncertainty retained
three_study_mKH_meta,three_study_meta,whole_lesion,all_cells,source_cohorts,injury_d1_vs_uninjured,centered_rank_mean,mKH_meta_standardized_effect,2.0082430758923397,0.2394782727761773,0.9778512318162332,3.038634919968445,0.0139237040408036,0.0379962258491976,1,FDR_supported_association_or_enrichment,k=3 modified Hartung-Knapp; wide small-k uncertainty retained
three_study_mKH_meta,three_study_meta,whole_lesion,all_cells,source_cohorts,injury_d1_vs_uninjured,magnitude_mean_z,mKH_meta_standardized_effect,1.4515344352211497,0.3456498585288285,-0.0356768721154299,2.938745742557729,0.0522962306501416,0.245706678973054,1,directional_or_no_statistical_support,k=3 modified Hartung-Knapp; wide small-k uncertainty retained
three_study_mKH_meta,three_study_meta,whole_lesion,all_cells,source_cohorts,injury_d7_vs_uninjured,centered_rank_mean,mKH_meta_standardized_effect,0.8454204753341976,0.2577162362457298,-0.2634429920492491,1.9542839427176444,0.0816997709470446,0.1324909898905147,1,directional_or_no_statistical_support,k=3 modified Hartung-Knapp; wide small-k uncertainty retained
three_study_mKH_meta,three_study_meta,whole_lesion,all_cells,source_cohorts,injury_d7_vs_uninjured,magnitude_mean_z,mKH_meta_standardized_effect,0.0286172999972769,0.5888578397477118,-2.5050334916275867,2.5622680916221405,0.9656563125503796,0.9848464278800354,1,directional_or_no_statistical_support,k=3 modified Hartung-Knapp; wide small-k uncertainty retained
